a0,a1,b0,b1,c0,c1,d0,d1,e1,,,,,,,
22.68277917,48.85017908,22.602946,57.84074375,22.01333488,43.89754215,0.114837768,0.344478967,2586.211888,,,,,,,
22.22662492,49.75756857,23.46293684,58.79633087,23.25321235,42.89052823,0.113944401,0.347184032,2597.490672,,,"参数说明：
a0 = 1号机组1#水导轴瓦温度上限阈值
a1 = 1号机组1#水导轴瓦温度下限阈值

b0 = 1号机组3#水导轴瓦温度上限阈值
b1 = 1号机组3#水导轴瓦温度下限阈值

c0 = 1号机组1#水导油槽温度上限阈值
c1 = 1号机组1#水导油槽温度下限阈值

d0 = 1号机组机组冷却水供水总管压力上限阈值
d1 = 1号机组机组冷却水供水总管压力下限阈值

e1 = 1号机组机组冷却水供水总管流量上限阈值
        （注意：只有上限阈值，无下限）
",,,,
22.28979953,50.44199536,23.2350229,57.24741227,23.31341217,44.16019119,0.110259496,0.350137532,2602.04619,,,,,,,
22.27479062,49.07811452,23.49914156,58.8948933,22.93692024,43.57572179,0.112411995,0.341672186,2589.023521,,,,,,,
23.41010117,49.66194887,22.47154637,58.71239958,23.34200052,44.10322071,0.10842607,0.343513841,2599.042575,,,,,,,
22.35339974,49.02694572,23.60879064,58.49842193,22.39125194,44.2706574,0.114764158,0.340547705,2594.664698,,,,,,,
22.63377176,50.72785552,23.99112968,58.03686814,22.30837717,44.37243104,0.110599189,0.348378037,2585.725141,,,,,,,
23.02902824,49.21993206,23.64318083,57.9898018,22.8311496,44.26724048,0.109745364,0.349602631,2597.043663,,,,,,,
22.45702765,50.05960269,23.38073165,57.87588716,22.52408781,43.17282057,0.113809488,0.344433414,2596.333177,,,,,,,
22.0568742,49.71643301,22.68091282,58.010537,23.20368641,44.01852189,0.114446904,0.343237929,2587.405781,,,,,,,
23.24941663,50.39347269,23.45697619,57.03867664,23.43322772,42.88368092,0.111278762,0.340958719,2590.253196,,,,,,,
23.57309067,49.01796029,23.97753957,58.78448979,23.58940747,44.66218359,0.109260175,0.348479364,2594.594435,,,,,,,
22.19420894,49.32788659,23.74775697,57.50430362,22.13762454,42.88792912,0.108950504,0.340304212,2595.344898,,,,,,,
22.17601515,50.29197217,23.60667592,58.35107818,22.631261,43.4705344,0.109273458,0.346852695,2590.732331,,,,,,,
21.93506016,50.51861957,23.61353635,57.42255537,23.68023506,43.58820358,0.112367398,0.340820189,2602.485275,,,,,,,
23.54607288,49.2533918,24.1552991,58.16719524,22.03038363,43.89937737,0.107900745,0.347879097,2598.776862,,,,,,,
22.95150329,50.45532633,22.40831893,57.52527606,22.66678604,43.35110324,0.109744836,0.346283601,2589.304456,,,,,,,
22.35579348,50.56492869,22.7968554,58.09801342,22.65066367,42.96891984,0.107198212,0.343707075,2592.416788,,,,,,,
23.37758299,48.83473312,23.51889926,57.42067456,23.2390059,43.79914154,0.111181162,0.342660771,2586.626185,,,,,,,
21.89934048,49.15806897,22.91191393,58.84664386,23.27278923,42.94655979,0.110727028,0.347356414,2585.720629,,,,,,,
22.508499,49.7223106,22.34364127,58.36056177,22.80267018,44.67160945,0.111130636,0.349168986,2598.674545,,,,,,,
22.06837615,49.00070885,23.86514165,58.95839422,21.97775621,43.14424575,0.112995355,0.344673416,2595.557854,,,,,,,
