a,b,c,d
2.433000088,2.538093805,2.403000116,0
2.433000088,2.538093805,2.403000116,0
2.431250095,2.538093805,2.403000116,0
2.429750204,2.538093805,2.403000116,0
2.433500051,2.538093805,2.403000116,0
2.433500051,2.538093805,2.415250063,0
2.447750092,2.525793791,2.404000044,0
2.430500269,2.525793791,2.404000044,0
2.430500269,2.525793791,2.404000044,0
2.433250189,2.525793791,2.404000044,0
2.433250189,2.525793791,2.404000044,0
2.433250189,2.525793791,2.404000044,0
2.433250189,2.525793791,2.404750109,0
2.433250189,2.525793791,2.415500164,0
2.433250189,2.525793791,2.401000261,0
2.439500093,2.525793791,2.413500071,0
2.433500051,2.525793791,2.399000168,0
2.434500217,2.525793791,2.400250196,0
2.419500113,2.525793791,2.40350008,0
2.438000202,2.525793791,2.402750254,0
2.421250105,2.525793791,2.397500277,0
2.431750059,2.525793791,2.397750139,0
2.425250053,2.523231268,2.405750275,0
2.425250053,2.523231268,2.405750275,0
2.425250053,2.523231268,2.404250145,0
2.425750256,2.523231268,2.404250145,0
2.437000275,2.523231268,2.404250145,0
2.437750101,2.523231268,2.404250145,0
2.426500082,2.523231268,2.404250145,0
2.424250126,2.523231268,2.395250082,0
2.424250126,2.523231268,2.395250082,0
2.424250126,2.523231268,2.395250082,0
2.424250126,2.523231268,2.395250082,0
2.424250126,2.523231268,2.395250082,0
2.424250126,2.523231268,2.407000065,0
2.424250126,2.523231268,2.407000065,0
2.424250126,2.523231268,2.407000065,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.521950006,2.401250124,0
2.425500154,2.510418653,2.401250124,0
2.425500154,2.510418653,2.401250124,0
2.425500154,2.510418653,2.401250124,0
2.425500154,2.510418653,2.401250124,0
2.425500154,2.510418653,2.401250124,0
2.425500154,2.510418653,2.401250124,0
2.425500154,2.510418653,2.401250124,0
2.425500154,2.510418653,2.401250124,0
2.425500154,2.510418653,2.401750088,0
2.413750172,2.510418653,2.392250061,0
2.413750172,2.510418653,2.40350008,0
2.413750172,2.510418653,2.392750263,0
2.413750172,2.510418653,2.392750263,0
2.424500227,2.510418653,2.392750263,0
2.424500227,2.510418653,2.392750263,0
2.424500227,2.510418653,2.392750263,0
2.424500227,2.510418653,2.392750263,0
2.424500227,2.510418653,2.392750263,0
2.424500227,2.510418653,2.392750263,0
2.424500227,2.510418653,2.392000198,0
2.424500227,2.510418653,2.392000198,0
2.424500227,2.510418653,2.392000198,0
2.424500227,2.510418653,2.393000126,0
2.424500227,2.510418653,2.393000126,0
2.424500227,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.425000191,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.414250135,2.510418653,2.393000126,0
2.42475009,2.510418653,2.393000126,0
2.413750172,2.510418653,2.393000126,0
2.413750172,2.510418653,2.393000126,0
2.413750172,2.510418653,2.393000126,0
2.413750172,2.510418653,2.393000126,0
2.413750172,2.510418653,2.393000126,0
2.424250126,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.413250208,2.510418653,2.393000126,0
2.42475009,2.510418653,2.393000126,0
2.42475009,2.510418653,2.393000126,0
2.42475009,2.510418653,2.393000126,0
2.42475009,2.510418653,2.393000126,0
2.414000273,2.510418653,2.393000126,0
2.414000273,2.510418653,2.393000126,0
2.414000273,2.510418653,2.393000126,0
2.414000273,2.510418653,2.403750181,0
2.414500237,2.510418653,2.403750181,0
2.414500237,2.510418653,2.403750181,0
2.414500237,2.510418653,2.401000261,0
2.413500071,2.510418653,2.401000261,0
2.413500071,2.510418653,2.390250206,0
2.424250126,2.510418653,2.401250124,0
2.424250126,2.510418653,2.39075017,0
2.424250126,2.510418653,2.39075017,0
2.424250126,2.510418653,2.39075017,0
2.424250126,2.510418653,2.39075017,0
2.414000273,2.510418653,2.39075017,0
2.414000273,2.510418653,2.39075017,0
2.414000273,2.510418653,2.39075017,0
2.414000273,2.510418653,2.402750254,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.399750233,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.398250103,0
2.414000273,2.510418653,2.399750233,0
