时间,1号机组1#水导轴瓦温度,1号机组3#水导轴瓦温度,1号机组1#水导油槽温度,1号机组机组冷却水供水总管压力,1号机组机组冷却水供水总管流量,正常,异常
2013/7/24 4:23,24.4375,24.93125153,24.4375,0.11649999,-1.349975586,0.6774211,0.3225789
2013/7/24 5:23,24.45000076,24.9375,24.33750153,0.11649999,-3.206237793,0.67969084,0.32030913
2013/7/24 6:23,24.33750153,24.91250229,24.33750153,0.11649999,-1.5187377930000001,0.67962235,0.32037762
2013/7/24 7:23,24.33750153,24.9375,24.34375,0.11649999,-1.5187377930000001,0.67974615,0.32025382
2013/7/24 8:23,24.35000229,24.9375,24.33124924,0.115500003,0.168762207,0.6789759,0.3210241
2013/7/24 9:23,24.33750153,24.91875076,24.29999924,0.115500003,-1.349975586,0.67946726,0.32053265
2013/7/24 10:23,24.33124924,24.84375,24.34375,0.115500003,1.6875,0.6777577,0.3222423
2013/7/24 11:23,24.23749924,24.83750153,24.33750153,0.115500003,0.506286621,0.67793953,0.3220605
2013/7/24 12:23,24.24375153,24.84375,24.26250076,0.115500003,-1.5187377930000001,0.67964816,0.32035178
2013/7/24 13:23,24.25,24.85625076,24.34375,0.115500003,2.362487793,0.6780207,0.32197928
2013/7/24 14:23,24.23125076,24.84375,24.23749924,0.115500003,0.506286621,0.680275,0.319725
2013/7/24 15:23,24.22500229,24.73749924,24.22500229,0.115500003,-1.349975586,0.6793993,0.32060066
2013/7/24 16:23,24.14374924,24.75625229,24.23125076,0.126300007,-0.84375,0.69104856,0.30895144
2013/7/24 17:23,24.08750153,24.75625229,24.23125076,0.128300041,-1.5187377930000001,0.69321066,0.30678937
2013/7/24 18:23,24.13125229,24.73749924,24.17499924,0.127299994,-1.1812133790000001,0.6931565,0.30684352
2013/7/24 19:23,24.13750076,24.76250076,24.23125076,0.127299994,-1.6875,0.6921539,0.30784613
2013/7/24 20:23,24.13750076,24.64374924,24.25625229,0.127299994,-1.1812133790000001,0.6903779,0.3096221
2013/7/24 21:23,24.08124924,24.64374924,24.22500229,0.127299994,-1.012512207,0.691152,0.30884805
2013/7/24 22:23,24.04375076,24.64374924,24.09375,0.127100021,-1.012512207,0.693893,0.30610698
2013/7/24 23:23,24.02500153,24.63750076,24.13125229,0.127100021,-1.5187377930000001,0.69301647,0.3069836
2013/7/25 0:23,24.04999924,24.63750076,24.125,0.127100021,-0.84375,0.6931344,0.30686557
2013/7/25 1:23,24.03125,24.53750229,24.125,0.126400024,0.506286621,0.69141865,0.30858132
2013/7/25 2:23,24.03750229,24.53125,24.05625153,0.11630001699999999,0.506286621,0.682183,0.31781697
2013/7/25 3:23,23.88125229,24.54375076,24.13125229,0.11630001699999999,0.84375,0.68085426,0.31914574
2013/7/25 4:23,23.94375229,24.55625153,24.125,0.11630001699999999,0.337524414,0.681028,0.318972
2013/7/25 5:23,23.9375,24.52500153,24.13750076,0.11630001699999999,-1.1812133790000001,0.6803909,0.3196091
2013/7/25 6:23,23.96250153,24.53750229,24.13125229,0.11630001699999999,-1.012512207,0.68063253,0.31936753
2013/7/25 7:23,23.9375,24.54375076,24.13125229,0.11630001699999999,-1.5187377930000001,0.6807227,0.3192773
2013/7/25 8:23,23.94375229,24.55625153,24.02500153,0.12650004,0.168762207,0.69403905,0.3059609
2013/7/25 9:23,23.93125153,24.4375,23.96250153,0.12650004,-1.1812133790000001,0.69417644,0.30582356
2013/7/25 10:23,23.95000076,24.44375229,24.01874924,0.138500005,0.337524414,0.70543957,0.2945605
2013/7/25 11:23,23.83124924,24.44375229,24.03125,0.138500005,-1.1812133790000001,0.7052985,0.2947015
2013/7/25 12:23,23.85000229,24.44375229,23.92499924,0.128300041,0.674987793,0.6970923,0.30290768
2013/7/25 13:23,23.86875153,24.35000229,24.03125,0.128300041,-1.1812133790000001,0.6937258,0.30627424
2013/7/25 14:23,23.83750153,24.4375,23.93125153,0.128300041,-2.700012207,0.69683576,0.30316424
2013/7/25 15:23,23.83124924,24.33750153,23.92499924,0.128300041,2.193786621,0.6960577,0.3039423
2013/7/25 16:23,23.83750153,24.35625076,23.92499924,0.138600022,-1.349975586,0.7067912,0.29320875
2013/7/25 17:23,23.73749924,24.33750153,23.93125153,0.139300019,-1.349975586,0.7073168,0.2926831
2013/7/25 18:23,23.73749924,24.33124924,23.9375,0.130300015,-1.5187377930000001,0.697848,0.30215198
2013/7/25 19:23,23.73749924,24.33750153,23.93125153,0.130300015,0.674987793,0.6980958,0.30190417
2013/7/25 20:23,23.73749924,24.33750153,23.83750153,0.130300015,0.506286621,0.7001376,0.29986233
2013/7/25 21:23,23.73125076,24.33124924,23.82500076,0.130300015,0.506286621,0.7003545,0.29964557
2013/7/25 22:23,23.73749924,24.24375153,23.83124924,0.130300015,0.506286621,0.6993152,0.3006848
2013/7/25 23:23,23.75625229,24.26250076,23.83124924,0.130300015,-1.1812133790000001,0.69944537,0.3005546
2013/7/26 0:23,23.64374924,24.26250076,23.83750153,0.119399995,0.337524414,0.6880959,0.31190407
